antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'rolls/buns'}),frozenset({'hard cheese'}),0.11000467820624206,0.01470293390362895,0.001670787943594199,0.015188335358444716,1.0330139180382194,1.0,5.3396430837849814e-05,1.0004928875969321,0.035908988510925915,0.013579576317218903,0.0004926447784310038,0.06441234949740418
frozenset({'dessert'}),frozenset({'sausage'}),0.02359152576355009,0.06034886052262247,0.0014702933903628951,0.06232294617563739,1.0327112332514532,1.0,4.65716925425561e-05,1.002105293762883,0.032440420633439035,0.017828200972447323,0.002100870812664456,0.04334308992059832
frozenset({'sausage'}),frozenset({'dessert'}),0.06034886052262247,0.02359152576355009,0.0014702933903628951,0.024363233665559245,1.0327112332514532,1.0,4.65716925425561e-05,1.0007909787009244,0.03370942713047968,0.017828200972447323,0.0007903535481015047,0.04334308992059832
frozenset({'detergent'}),frozenset({'whole milk'}),0.008621265788946068,0.15792287642852368,0.001403461872619127,0.1627906976744186,1.0308240411774547,1.0,4.196678077393861e-05,1.0058143420437078,0.030162368304474264,0.0084985835694051,0.005780730897009963,0.08583885285752245
frozenset({'whole milk'}),frozenset({'detergent'}),0.15792287642852368,0.008621265788946068,0.001403461872619127,0.008887008040626322,1.0308240411774545,1.0,4.196678077393861e-05,1.000268125081435,0.035510204081632635,0.0084985835694051,0.00026805320964619404,0.08583885285752245
frozenset({'brown bread'}),frozenset({'pastry'}),0.03762614448974136,0.0517275947336764,0.002004945532313039,0.05328596802841919,1.0301265369628376,1.0,5.863557875694647e-05,1.0016460866133963,0.030388888888889035,0.022953328232593728,0.001643381465165715,0.0460228289754499
frozenset({'pastry'}),frozenset({'brown bread'}),0.0517275947336764,0.03762614448974136,0.002004945532313039,0.03875968992248062,1.0301265369628376,1.0,5.863557875694647e-05,1.0011792529098658,0.030840792162943272,0.022953328232593728,0.0011778639104220528,0.0460228289754499
frozenset({'pastry'}),frozenset({'sausage'}),0.0517275947336764,0.06034886052262247,0.003207912851700862,0.06201550387596899,1.0276168156103256,1.0,8.621145194748431e-05,1.0017768346494356,0.028340615970117666,0.029465930018416207,0.001773683107832432,0.057585825027685486
frozenset({'sausage'}),frozenset({'pastry'}),0.06034886052262247,0.0517275947336764,0.003207912851700862,0.05315614617940199,1.0276168156103256,1.0,8.621145194748431e-05,1.0015087508251348,0.028600640113797975,0.029465930018416207,0.0015064779253218677,0.057585825027685486
frozenset({'canned beer'}),frozenset({'newspapers'}),0.04691572545612511,0.038895943326872955,0.001871282496825503,0.039886039886039885,1.0254550082728777,1.0,4.6451098344929944e-05,1.0010312281669662,0.026045057950253938,0.022292993630573247,0.0010301658309446343,0.04399800276088936
frozenset({'newspapers'}),frozenset({'canned beer'}),0.038895943326872955,0.04691572545612511,0.001871282496825503,0.048109965635738834,1.0254550082728777,1.0,4.6451098344929944e-05,1.0012545988890527,0.02582772904725481,0.022292993630573247,0.0012530268429675464,0.04399800276088936
frozenset({'butter'}),frozenset({'newspapers'}),0.03522020985096572,0.038895943326872955,0.001403461872619127,0.039848197343453504,1.024482090807723,1.0,3.353858629539207e-05,1.0009917744401935,0.024769425642243496,0.019301470588235288,0.000990791798212555,0.03796533578512881
frozenset({'newspapers'}),frozenset({'butter'}),0.038895943326872955,0.03522020985096572,0.001403461872619127,0.03608247422680412,1.024482090807723,1.0,3.353858629539207e-05,1.0008945416519393,0.02486415607895328,0.019301470588235288,0.0008937421623489909,0.03796533578512881
frozenset({'canned beer'}),frozenset({'frozen vegetables'}),0.04691572545612511,0.028002405934638777,0.0013366303548753592,0.02849002849002849,1.0174135949792273,1.0,2.2877165934877958e-05,1.0005019223370726,0.017958067456700057,0.0181653042688465,0.0005016705374241118,0.03811136269370159
